No	CommentID	ReplyTo	Username	Recommend	Date	Comment
1	37763306		blatantfraud	65	04 July 2014 10:04am	Built it a bit bigger and it could have carried a lot more aircraft. No doubt the tories will mothball one or both as they continue their scandalous slashing of the forces.
2	37763546	37763306	UncleBacterial	146	04 July 2014 10:10am	So we can be an even better war mongering killing machine and turn even more of the world against us?
3	37763891	37763306	boulay	63	04 July 2014 10:19am	yes because obviously labour will just spunk billions at the armed forces. maybe they could use the bankers bonus tax for the 28th time to buy 5 more american sized aircraft carriers.  or perhaps if labour had done the commissioning job more sensibly then the costs might be different or only one would have been built. but of course it is the fault of the evil tories.....
4	37764078	37763891	smifee	36	04 July 2014 10:23am	<blockquote>  "... labour had done the commissioning job more sensibly ... " </blockquote>  Given what has happened since 2010 with regard to the aircraft carriers, their aircraft and defence procurement in general, I have come to the conclusion that commissioning 'more sensibly' actually means awarding contracts to mates and business partners rather than competitive tendering. Would I be right?
5	37764179	37763546	blatantfraud	26	04 July 2014 10:26am	No, so Britain can defend itself and its interests. I have no truck with Blair and his participation in Iraq, btw.
6	37764281	37763891	blatantfraud	27	04 July 2014 10:29am	What a refined answer. It's not Labour butchering the armed forces it's the tories. If Labour had set in train the present cuts the right wing papers would have been bellowing non-stop. I never trust tories on defence and security - they are penny pinchers. Their attempts to cut costs by making the best trained army in the world little more than a border defence force, and filling it out with reservists is, as predicted, a complete farce.
7	37764388	37763306	TVGuide	15	04 July 2014 10:32am	Bit harsh to blame the Tories for these aircraft carriers being inadequate. Labour ordered 2 carriers but didn't plan for the associated support craft(frigates destroyers etc), hence why one will be mothballed. They also ordered the wrong planes.
8	37764535	37764388	blatantfraud	11	04 July 2014 10:35am	I'm not blaming them for the carriers, I'm just saying their defence cuts are a disgrace. It's not lack of support ships that is likely to cause mothballing - it's tory defence cuts. Wasn't it them who cut the number of T45 destroyers, designed to escort the carriers, from 8 to 6 ?
9	37764707	37763306	Eisenhorn	10	04 July 2014 10:39am	<blockquote>  No doubt the tories will mothball one </blockquote>  Yup! Only one of them will actually sail around the place. The other one is going to be tied to a dock in "extended readiness"... Although, to be fair, it's hard to lay this one at the door of the Coalition government; the procurement balls-up and cost over-runs of this project are almost perfectly fairly shared out to drench absolutely everyone in basically-equal amounts of shame.
10	37764741	37764535	boulay	4	04 July 2014 10:40am	i am angry about cuts to the armed forces - very angry - but to be honest where is the money to avoid cuts. can you imagine the outcry if defence spending was ring-fenced or increased when there are cuts everywhere else. as usual the bean-counters in whitehall and government are "fighting the last war" and we see countlessly that we are unprepared when something happens and have to play catch-up however i just dont see where the money is for more ships (something i believe passionately in), soldiers and planes. it is frankly a no-win situation for any government at the moment.
11	37764804	37763306	Daveinireland	8	04 July 2014 10:42am	<blockquote>  Built it a bit bigger and it could have carried a lot more aircraft. No doubt the tories will mothball one or both as they continue their scandalous slashing of the forces. </blockquote>  Why? They can't afford enough aircraft to fill even one, let alone two bigger ones.
12	37764854	37764707	blatantfraud	1	04 July 2014 10:43am	Twas just an illustration of the tories obsession with slashing Britain's forces.
13	37764962	37764535	Daveinireland	4	04 July 2014 10:45am	<blockquote>  Wasn't it them who cut the number of T45 destroyers, designed to escort the carriers, from 8 to 6 ? </blockquote>  It was Bob Ainsworth.
