No	CommentID	ReplyTo	Username	Recommend	Date	Comment 
1	38237298		caxixi	36	16 July 2014 4:14pm	It is 4pm and I am in Portugal, 35 degrees outside, writing this in a house with all the shutters down. It is lovely and cool. At night I use a (ceiling) fan if necessary. I have lunch early and then a siesta from about 1pm to 3pm. After that, I continue working (computer) until about 8pm. In my experience, we English go wrong in that we OPEN rather than shut the windows/curtains. English friends came here last weekend and the first they asked was "do we have to sit in the dark in the middle of the day?". Answer, yes! 
2	38240638	38237298	CarmenFishwick	3	16 July 2014 5:45pm	Thanks for the advice - very interesting! 
3	38259677	38237298	SamGamgee	6	17 July 2014 8:28am	So you are saying we should move to Portugal? 
4	38259930	38237298	bbmatt	15	17 July 2014 8:35am	Exactly this. I lived in South Africa for 20 years, we'd have temperatures topping 35c for weeks on end. The houses there are designed to cope - stone floors, mostly single storey. Lots of air flow.  Also, wear light cotton clothing that covers arms and legs when outside. Wear a hat & sandals.  It always amuses me to see men wearing trainers, no shirt & no hat outside in the heat - that just makes you hotter. And women wearing jeans - crazy. Why do you think people who live in hot countries don't dress that way? Move slowly, take everything really easy. 
5	38260164	38240638	timtim1	8	17 July 2014 8:42am	"shutters down""dark in the middle of the day?".  The shutters are the key I suspect. Unknown in the UK. Shutters closed and windows closed works because the sun's energy stays outside. The space behind the shutters warms up and this causes a convective flow of air through the space preventing further warming much above the air temperature. Curtains closed is not nearly so good because the sun's energy is already inside. Might be worth a try though. 
6	38260425	38259930	ID6241782	2	17 July 2014 8:49am	People in hot countries where jeans all the time so not sure what you are talking about there? in my experience British go bat S%^T crazy in heat and where next to nothing to try and enjoy it. 
7	38260463	38260164	Trebor1975	2	17 July 2014 8:50am	Closing the curtains definitely helps. The key is to do it before the sun comes around. 
8	38260786	38259677	caxixi	4	17 July 2014 8:58am	I think everyone would benefit by moving to Portugal! 
9	38264471	38237298	kizbot	4	17 July 2014 10:15am	Here in Greece.. In the morning, I shut the shutters, shut the windows and pull the curtains across to insulate the house from the heat. When it's dark I open everything in the house.. windows, balcony doors, the lot, to get as much cool air in as possible.I also sleep on the balcony.I have frequent cool showers as well when it's very hot 
10	38264569	38237298	kizbot	1	17 July 2014 10:17am	And I absolutely never ever sit in the sun.. I am always under an umbrella or under a tree. 
11	38267884	38264471	ScamWithABigPlate	1	17 July 2014 11:22am	kizbot your life sounds beautiful. 
12	38271273	38267884	kizbot	0	17 July 2014 12:30pm	It's a very beautiful country even if we are all (or most) poor as church mice. 
13	38272995	38260425	bbmatt	1	17 July 2014 1:02pm	Where, wear.  Jeans - it's a westernisation. They are probably the worst thing to wear in hot weather.  In my experience, Brits don't know how to handle hot weather and end up suffering from sun burn and sun stroke. Not much enjoyable about that. 
14	38237349		raleighgrifter	5	16 July 2014 4:15pm	Go somewhere cooler. 
15	38259147	38237349	pollystyrene	35	17 July 2014 8:12am	freezer section of Tesco? (other supermarkets are available). 
16	38262791	38259147	LilywhiteGirl	26	17 July 2014 9:41am	According to my brother, the Sutton branch of ASDA is verging on Arctic towards the back of the shop. Don't delay, book your holiday in the arse-end of Surrey now! 
17	38238794		BaronGrovelville	11	16 July 2014 4:50pm	I was working in the south of France during the 2003 heatwave and I would wear a hat which I kept soaked in water while at work, lie in a bath full of cold water before going to bed to get my body temperature down and drink gallons of water through out the day and before going to bed. My thermometer only went up to 50 degrees centigrade so I don't know how hot it was during the day but at 3 in the morning it was 32 degrees centigrade. I also avoided alcohol. It was hot. 
18	38261557	38238794	cerinamroth	3	17 July 2014 9:16am	Eugh, la canicule! I had to write my dissertation in that, and I can tell you that none of the minor dignitaries I had to interview could have given a rat's ass about the issues I was investigating - and I really couldn't blame them! I coped by only going out when I had to, keeping everything closed during the day, drinking lots of water, wearing loose clothes and only doing my writing at night. All common sense really. I was staying in a youth hostel with a naff foam mattress that seemed to bake me from the underside whenever I went to bed, so I got used to sleeping on the tiled floor. 
19	38261723	38238794	tarnarama	4	17 July 2014 9:19am	I agree that a cold/cold-ish bath or shower before bed works really well when it's very hot at night and you're struggling to cool down. And resist the temptation to open doors and windows to let in air if the house is cool, because you'll bring in warm air and warm the place up. 
20	38284221	38261557	BaronGrovelville	1	17 July 2014 5:18pm	Sleeping on a tiled floor! Yes I had forgotten that, me too! 
21	38239278		LeonRice	7	16 July 2014 5:02pm	What a pointless article. When it's warm drink cool drinks and shut the curtains. I always thought you should sit in direct sunlight at lunchtime if you wanted to cool down. Waste of column inches. 
22	38258717	38239278	neko99	54	17 July 2014 7:57am	<blockquote>  Waste of column inches. </blockquote>  Not really. It's the interweb. It's pretty infinite. 
23	38259038	38239278	foxinwinter	41	17 July 2014 8:08am	If it was pointless, people wouldn't keep dying of the heat, would they. Every heatwave causes extra mortality in this country - this is helpful, in fact. 
24	38239724		littlemissmolly	18	16 July 2014 5:15pm	It's not that flaming hot for goodness sake! I'm still wearing a cardigan, still sleeping fully under a 13 tog duvet and haven't so much as broken out in the lightest of perspiration yet this summer - what on earth IS all this nonsense? 
25	38242121	38239724	robinspat	3	16 July 2014 6:38pm	13 tog (40% goose down)) duvet - Me too! :) 
26	38258729	38242121	stoneface1	19	17 July 2014 7:57am	a bit too warm for the summer eider thought.... 
27	38259099	38239724	foxinwinter	9	17 July 2014 8:11am	Here in Devon it's rarely been under 75 since June. In these conditions, dogs die due to stupid owners leaving them in cars, people under-hydrate and pass out, wild-fires start due to fag ends on dry grass, all sorts of stuff happens. It depends where you are, but some of the UK is baking. 
28	38260014	38239724	bbmatt	3	17 July 2014 8:37am	It's not that hot *yet*  - it's going to get very uncomfortable & sticky in parts of England this evening and tomorrow. Thankfully the weekend will see a return to more moderate weather. 
29	38261678	38239724	explorerboy	8	17 July 2014 9:18am	Are you mental?! 
30	38262352	38239724	CodProfundity	1	17 July 2014 9:32am	You're just nesh. 
31	38265758	38239724	barnabasdoggie	5	17 July 2014 10:41am	Well. I'm glad you're okay. But you are aware that there are other people in the world, right? And they don't all think/behave/act/feel/experience things the same as you? Even with no sheets on my bed I'm struggling to sleep in the heat and am drenched in sweat. 
32	38271398	38239724	NinaRicky	1	17 July 2014 12:32pm	It depends whereabouts you are, surely? I'm just outside London and it's nudging 30 and mild/muggy at night. I'm currently sleeping mostly on top of my 4.5 tog duvet, and got the fan out last night... 
33	38279169	38271398	littlemissmolly	1	17 July 2014 3:05pm	I'm only just north of London ... I'm not saying it's cold, but it does seem that the media in general are making a mountain out of a molehill. I will confess to being a bit nesh though lol 
34	38240743		teaandchocolate	12	16 July 2014 5:48pm	Close all your windows and curtains in the morning. Keep them closed till nightfall and get a fan. Eat liquorice. It can help to stop that dizzy feeling. Don't drink water on its own. Put a teaspoon of sugar in it. Eat more if you are walking or exercising. You could faint if your calories drop. Bananas are good. Wear natural loose fabrics and walk slowly all the time. 
35	38265550	38240743	tr1ck5t3r	1	17 July 2014 10:37am	I find just drinking water and fasting is best with high levels of Vit D > 200nmol/L although the latter will take 14days to achieve due to the supplements commonly taken needing to be processed by the liver and kidneys first before its activated. Having high levels of Vit D makes one feel the cold more in the winter but also tolerate the heat better in the summer which is somewhat ironic considering humans are most likely to generate it when UVB is highest.  The reduced chemical energy from not having to digest anything makes the heat more tolerable, and the lack of caffeine makes it easier to sleep especially when it can take upto 8 hrs in some people to clear from their system, smokers will clear caffeine more quickly.  Whilst caffeine can increase L-Dopa which increases dopamine which makes it possible to tolerate low level stress situations better, it can also raise ephedrine a stress hormone, especially if caffeine is consumed in a high enough quantity easily done today which then makes the stress from the high temperatures less tolerable. Alcohol & Caffeine both have similar effects. Sometimes adding a pinch of some sea salt (salt that is more than just sodium chloride) to a litre of water is also pleasant if one is sweating alot, but too much sodium chloride can make the T helper cell 17 start attacking the body which can then be diagnosed as an auto immune disease amongst other things and in high doses over a short period of time will make people sick. I'd never consume more than a teaspoon of salt in a day unless doing some serious exercise.  Keeping rooms dark help to keep out the solar energy thus reducing the greenhouse effect so to speak is good, but getting airflow is crucial once the building has reached an unacceptable temperature. If one has a loft, to help reduce the temp more quickly, open your loft hatch and let the heat escape from there, you will feel the blast of heat when you open it up otherwise that will radiate heat throughout the night into your bedrooms. Dont be scared to have all doors open either whilst up and around, but be secure when going to bed with doors and windows, burglars take advantage of people going to bed with windows open so a good CCTV camera can be useful if you dont mind GCHQ/NSA hacking it. Finally, if one looks at the temps, like for Heathrow http://www.weathercast.co.uk/world-weather/weather-stations/obsid/3772.html people can see the 11am temp is only lower from 22:00 onwards on hot days, so if possible it might be worth asking if one can go into work later and then go to bed later when the temp have become more tolerable for sleeping in the house. 
36	38276103	38265550	stigglechick	0	17 July 2014 2:01pm	Do you have any peer-reviewed references for any of that? Some hippy nutritionist website won't count. 
37	38241542		Smyrna	14	16 July 2014 6:19pm	Advice from Turkey with a balmy 30c: In addition to the advice above regarding wearing loose fitting natural fabrics and closing windows and curtains during the heat of the day: Drink Ayran. Ayran is a salty yoghurt drink that may be an acquired taste but is fantastic in hot weather when food can seem unappetising but water alone is not enough. It's easy to make it yourself; mix natural yoghurt, water and a little salt. Afiyet olsun! 
38	38252230	38241542	LouSnickers	4	17 July 2014 1:30am	And a bit of chopped mint on top! 
39	38260040	38241542	Daniel West	2	17 July 2014 8:38am	TIL its the national drink in Turkey. Ayran Nation? 
40	38261294	38241542	Carlillvs	3	17 July 2014 9:10am	Do Muller do an Ayran corner? 
41	38262032	38241542	cerinamroth	0	17 July 2014 9:25am	I love Ayran! Luckily, it's easy to come by in Germany! It's quite similar to salty lassi, which is probably easier to get in the UK. I also love kefir for cooling off. 
42	38262324	38241542	zcsaa44	0	17 July 2014 9:32am	This sounds like a great idea 
43	38268501	38260040	Kezap	0	17 July 2014 11:34am	The prime minister thinks it is, it is of course Raku0131! 
