No	CommentID	ReplyTo	Username	Recommend	Date	Comment
1	39298572		TheGreatRonRafferty	89	11 August 2014 11:15am	Given the opportinity, the police would have a camera on everyone, and you'd have to have their permission to breathe in and out. Neither this, nor loads of other things are any of their fucking business. They are here to guarantee a free society. That means free from their interference as much as anything else
2	39299104	39298572	Bob_Helpful	21	11 August 2014 11:28am	But if you have nothing to hide you shouldn't be scared. No innocent person has ever suffered from police injustice *wibbles*
3	39299419	39299104	TheGreatRonRafferty	34	11 August 2014 11:35am	Quite right, how silly of me! I shall therefore give them a sample of my DNA, a fully itemised list of where I intend to travel, who I am travelling with, my car registration, everything I do on the computer, a copy of every letter, parcel and card I send through the post, the name of everyone I have ever known, every shop I have been in, my credit card number and code, and hand in my bank accounts for regular scrutiny. Oh, but they have almost all of that already ................. Except (to the best of my knowledge) my DNA. But should I be caught parking illegally, then I'm sure there's a case for them to collect that too.
4	39299833	39298572	OrangeLagoon	12	11 August 2014 11:43am	That's not true. They damn well wouldn't have a camera on themselves.
5	39300029	39299833	TheGreatRonRafferty	13	11 August 2014 11:47am	Oh, I don't know. It could go wrong at crucial moments. Purely by technical coincidence, naturally.
6	39300216	39300029	OrangeLagoon	9	11 August 2014 11:52am	The suspect then headbutted the camera 17 times, causing criminal damage?
7	39300300	39300216	TheGreatRonRafferty	3	11 August 2014 11:54am	Sounds (im)plausible M'Lud!
8	39302085	39298572	OldBristolian	35	11 August 2014 12:35pm	On top of Ron's points I'd add that the police have a poor understanding of Data Protection Act rules i.e. what they can share with which organisations with/without consent. GP's are pretty good at this. Even when they share personal data with a hospital consultant as part of a referral they obtain the patient's consent. Conversely, Social Workers regularly phone up my GP wife asking for patient medical details - she says "Fine - just fax me through the patient consent" and that's the last she hears of it. Whether they are actually ignorant of the law or just trying it on, I don't know. Your medical records are between you and your GP and nobody has access to them without your consent. There are one or two exceptions, child protection but even then the GP has to decide whether to share with social services and only if he/she shares those concerns. This suggestion goes completely against what we have in place now and should be resisted. Don't forget that once data has been shared, even if it was done illegally, it's practically impossible to repair the damage.
9	39302810	39298572	Pagey	21	11 August 2014 12:50pm	<blockquote>  the police would have a camera on everyone </blockquote>  If I ever have a colonoscopy, they're welcome to the footage so they know where they can stick their cameras.
10	39302823	39302085	snowcat3	6	11 August 2014 12:50pm	Generally speaking, I agree: our dealings with our GP should remain confidential unless we are specifically asked permission and give it. In the case of child protection concerns though, I feel the GP is given too much power. S/he might not "share the concerns" because s/he might be a poor reader of situations, s/he might well have fallen for the articulate charm of the abusing parent, etc. This is why we need a law on Mandatory Reporting; take it out of the "Let's leave it to the GP's discretion" category and put it in the "If you don't report child abuse concerns to the authorities, you are guilty of a crime" category. Given the chance to do nothing, a lot of people will do exactly that: nothing.  I do feel that's the exception. The idea of the police routinely accessing our medical records is repellant. To begin with, what makes them think that everything in our medical records is even accurate? I know that quite a lot of my own records, the parts of them concerning my mental health issues, are riddled with factual inaccuracies and nasty value judgements. And it is virtually impossible to get such "info" corrected or excised.
11	39304160	39299833	ABasu	3	11 August 2014 1:18pm	Aren't the police trialling having cameras on themselves to record all interactions with the public?
12	39305465	39298572	salamandertome	3	11 August 2014 1:41pm	The police need to learn that claiming that it will help them catch 'paedos and terrorists' will help them get whatever intrusive permissions they need. Or is that excuse reserved for central government?
